0,0,I,339,51.8883,77.1416,80.3779
1,0.04167,B,24,54.5783,74.4856,87.0167
2,0.08333,B,24,55.0039,75.8475,87.7956
3,0.125,B,24,54.0521,77.0558,86.3012
4,0.16667,B,24,55.6571,79.2029,85.5462
5,0.20833,B,24,55.6465,80.8684,85.9325
6,0.25,B,24,54.9375,83.2363,84.2054
7,0.29167,B,24,55.6621,75.166,86.0867
8,0.33333,P,39,55.6719,85.735,88.8429
9,0.375,B,24,55.1298,84.7853,85.4547
10,0.41667,B,24,55.7216,85.4547,88.6499
11,0.45833,B,24,55.7352,85.8823,89.045
12,0.5,B,24,55.5094,77.4671,88.6499
13,0.54167,B,24,55.8213,89.5954,92.2672
14,0.58333,B,24,55.8291,88.2878,89.8368
15,0.625,B,24,55.7119,89.3668,88.0347
16,0.66667,P,32,55.7927,89.5954,92.2672
17,0.70833,B,24,55.7886,83.8787,93.2363
18,0.75,B,24,55.6886,98.2878,92.7247
19,0.79167,B,24,55.8293,98.2878,96.8265
20,0.83333,B,24,55.5499,98.2878,102.2672
21,0.875,B,24,55.7841,99.99,97.4959
22,0.91667,B,24,56.3656,99.99,102.2672
23,0.95833,B,24,56.3565,99.99,105.2775
24,1,I,256,52.3362,99.99,99.99
25,1.04167,B,24,55.2106,99.99,99.99
26,1.08333,B,24,55.6505,99.99,99.99
27,1.125,B,24,54.6085,99.99,99.99
28,1.16667,B,24,55.8806,91.4753,93.2363
29,1.20833,B,24,55.917,99.99,99.99
30,1.25,B,24,55.1204,71.4053,84.8635
31,1.29167,B,24,56.0139,91.4753,99.99
32,1.33333,P,31,55.9997,99.99,102.2672
33,1.375,B,24,55.764,99.99,99.99
34,1.41667,B,24,56.0203,99.99,99.99
35,1.45833,B,24,56.1087,83.7853,93.2363
36,1.5,B,24,55.9932,86.0347,99.99
37,1.54167,B,24,56.0735,92.7247,99.99
38,1.58333,B,24,56.1832,94.138,99.99
39,1.625,B,24,56.2469,82.3328,99.99
40,1.66667,P,32,56.7253,84.0389,83.6638
41,1.70833,B,24,57.6001,74.0487,74.9999
42,1.75,B,46,57.7178,66.2352,64.4726
43,1.79167,B,31,55.772,60.4557,57.1291
44,1.83333,B,334,53.8839,55.9835,52.8797
45,1.875,B,25,52.7085,54.0216,51.6294
46,1.91667,B,82,52.8334,54.303,51.3583
47,1.95833,B,24,52.0566,52.8523,51.1863
48,2,I,3459,52.3413,52.9425,51.2157
49,2.04167,B,24,51.1901,51.5884,50.1511
50,2.08333,B,60,51.2885,50.6676,49.7949
